name,age,gender,department,degree,cgpa,internships,projects,programming_skills,communication_skills,aptitude_score,technical_score,work_experience,certifications,soft_skills,leadership,hackathons,placed,salary_lpa
Student_0067,21,Male,Information Technology,B.Tech,7.48,0,5,42,32,68,72,23,4,74,0,4,0,0.0
Student_0068,20,Female,Electronics,B.Tech,6.97,2,3,36,99,98,47,20,3,41,1,4,1,11.74
Student_0069,21,Female,Mechanical,B.E,8.49,0,2,72,59,52,95,9,4,77,1,4,1,15.07
Student_0070,23,Male,Civil,B.Tech,7.24,0,5,50,86,56,83,0,2,32,1,3,1,12.49
Student_0071,20,Male,Electrical,B.Tech,8.1,3,2,82,88,83,84,8,3,46,1,4,1,15.78
Student_0072,21,Male,Information Technology,B.E,7.6,0,0,58,54,74,92,10,0,38,0,3,0,0.0
Student_0073,20,Female,Electrical,B.E,6.0,2,0,74,81,52,82,4,1,98,1,0,1,12.26
Student_0074,22,Male,Mechanical,MCA,7.31,2,3,36,53,54,96,15,3,55,0,2,0,0.0
Student_0075,21,Female,Computer Science,B.Tech,6.16,3,0,53,85,88,53,23,4,69,1,2,1,12.91
Student_0076,21,Male,Electrical,B.E,7.29,2,0,58,97,88,89,20,0,85,1,2,1,12.73
Student_0077,20,Female,Electronics,B.Tech,6.65,2,1,34,86,40,37,20,0,97,1,4,0,0.0
Student_0078,22,Male,Mechanical,B.Tech,7.78,3,3,59,80,57,51,19,0,99,1,4,1,13.0
Student_0079,22,Male,Civil,M.Tech,6.06,3,2,62,56,83,92,1,3,41,0,2,1,11.19
Student_0080,23,Female,Computer Science,B.Tech,7.41,2,3,58,37,38,39,13,2,57,1,0,0,0.0
Student_0081,21,Male,Information Technology,B.E,7.97,0,3,65,65,42,65,13,0,58,1,1,0,0.0
Student_0082,20,Male,Civil,B.Tech,8.31,0,5,85,39,41,53,2,4,85,0,0,1,14.31
Student_0083,23,Female,Information Technology,B.Tech,6.64,1,1,83,65,66,37,3,3,53,0,2,0,0.0
Student_0084,22,Female,Computer Science,MCA,7.42,2,2,30,90,61,46,13,0,46,1,1,1,12.38
Student_0085,22,Female,Computer Science,B.Tech,7.58,2,3,74,37,52,67,17,4,82,1,0,1,14.04
Student_0086,20,Male,Civil,BCA,8.95,3,1,93,93,39,74,5,5,64,1,0,1,16.74
Student_0087,21,Female,Computer Science,B.Tech,5.92,0,1,90,71,74,77,11,2,82,0,2,1,13.07
Student_0088,23,Female,Computer Science,MCA,6.49,0,0,52,33,86,39,1,5,56,1,0,0,0.0
Student_0089,23,Male,Mechanical,B.Tech,10.0,0,1,84,80,44,52,2,2,64,1,0,1,14.25
Student_0090,21,Male,Computer Science,B.Tech,7.13,2,1,86,30,76,37,13,0,30,0,1,0,0.0
Student_0091,23,Female,Mechanical,BCA,5.51,2,1,55,72,85,30,13,0,31,1,3,0,0.0
Student_0092,23,Male,Mechanical,B.Tech,6.82,0,1,90,65,68,57,18,0,30,0,3,0,0.0
Student_0093,21,Female,Mechanical,B.Tech,5.0,3,4,74,82,70,73,21,1,42,1,1,1,15.7
Student_0094,23,Other,Electronics,MCA,7.64,1,4,82,56,41,55,4,2,54,1,3,1,11.71
Student_0095,21,Female,Civil,B.E,8.21,2,3,82,38,97,32,8,2,33,0,0,0,0.0
Student_0096,20,Male,Mechanical,M.Tech,6.49,3,0,84,57,96,45,20,2,41,1,3,1,13.25
Student_0097,22,Male,Electronics,B.E,6.93,0,4,96,83,79,60,1,5,89,1,0,1,15.39
Student_0098,22,Male,Computer Science,BCA,8.32,3,0,90,96,93,54,19,0,89,0,0,1,13.18
Student_0099,20,Male,Information Technology,MCA,5.65,3,0,59,44,72,87,22,5,50,1,4,1,14.41
Student_0100,23,Female,Computer Science,B.E,6.08,3,3,69,54,76,71,2,1,96,0,2,1,14.27
Student_0101,20,Female,Computer Science,B.Tech,7.17,0,2,75,91,88,99,3,5,38,0,2,1,14.35
Student_0102,23,Male,Information Technology,B.Tech,6.65,1,1,89,51,32,42,16,0,32,0,1,0,0.0
Student_0103,20,Male,Information Technology,B.E,7.11,0,5,57,47,45,55,11,0,54,0,3,0,0.0
Student_0104,23,Female,Computer Science,BCA,6.14,1,0,51,88,44,36,23,0,48,0,3,0,0.0
Student_0105,23,Male,Information Technology,B.E,7.61,3,0,81,64,74,31,13,1,35,0,3,0,0.0
Student_0106,23,Male,Mechanical,B.Tech,7.25,3,3,96,70,46,94,15,5,89,1,1,1,16.59
Student_0107,22,Male,Information Technology,B.Tech,7.95,3,2,93,64,57,64,5,2,98,1,3,1,15.81
Student_0108,21,Female,Information Technology,B.E,7.6,1,4,40,72,64,76,7,0,48,1,3,1,13.49
Student_0109,22,Male,Computer Science,BCA,7.61,3,0,94,48,82,49,4,3,52,1,2,1,15.22
Student_0110,21,Female,Computer Science,B.Tech,5.95,3,2,85,81,66,33,3,3,80,0,1,1,14.13
Student_0111,23,Male,Computer Science,B.E,7.89,3,0,40,55,31,92,2,4,95,1,3,1,16.25
Student_0112,22,Female,Electronics,BCA,7.07,3,0,30,66,78,76,21,4,50,0,2,1,12.85
Student_0113,21,Male,Mechanical,MCA,7.23,2,2,44,42,59,79,1,4,77,0,1,1,14.02
Student_0114,22,Male,Civil,B.Tech,8.45,0,4,95,30,37,67,12,0,31,1,4,0,0.0
Student_0115,22,Male,Mechanical,MCA,6.68,1,0,82,69,75,58,12,2,69,0,2,1,10.51
Student_0116,20,Male,Mechanical,B.E,8.75,3,5,70,39,48,59,1,3,99,0,2,1,16.65
Student_0117,20,Male,Electrical,BCA,8.84,1,3,74,93,62,83,20,3,63,1,1,1,14.22
Student_0118,20,Male,Information Technology,B.Tech,8.15,0,2,58,97,97,45,12,5,74,0,3,1,13.63
Student_0119,20,Male,Civil,B.E,6.42,3,5,93,52,46,53,3,5,78,1,4,1,13.17
Student_0120,21,Male,Electrical,B.E,5.21,1,1,40,50,91,51,3,4,74,0,3,0,0.0
Student_0121,22,Female,Mechanical,B.Tech,8.48,3,1,51,65,62,66,16,1,78,0,2,0,0.0
Student_0122,22,Male,Electrical,B.Tech,7.51,1,4,44,44,95,97,14,3,92,0,3,1,14.41
Student_0123,21,Female,Computer Science,B.E,6.65,1,0,89,90,89,94,9,4,30,0,1,1,13.98
Student_0124,23,Other,Electrical,B.E,8.57,1,5,67,37,88,68,9,1,91,0,0,0,0.0
Student_0125,22,Male,Mechanical,B.Tech,6.54,1,4,77,61,44,44,0,4,93,0,3,0,0.0
Student_0126,20,Female,Information Technology,B.Tech,6.98,1,5,94,43,85,95,0,1,93,1,0,1,15.47
Student_0127,23,Female,Computer Science,B.Tech,7.92,1,2,43,88,55,51,12,0,55,1,0,0,0.0
Student_0128,22,Female,Civil,MCA,6.29,3,3,97,40,93,54,8,1,70,0,3,0,0.0
Student_0129,22,Male,Electronics,MCA,7.29,1,5,38,61,99,91,6,5,54,1,2,1,14.1
Student_0130,22,Male,Information Technology,B.Tech,8.49,1,0,82,88,72,48,9,5,88,0,4,1,14.61
Student_0131,22,Male,Electronics,B.Tech,7.61,3,1,79,60,93,62,14,5,58,1,4,1,14.76
Student_0132,20,Male,Electrical,B.Tech,8.65,1,2,87,42,67,94,7,1,51,0,0,1,14.59
Student_0133,22,Other,Electronics,B.E,8.53,0,3,41,41,32,52,8,4,77,1,3,1,13.55
Student_0134,23,Female,Computer Science,MCA,7.41,0,4,97,72,91,73,6,1,33,0,1,1,12.9
Student_0135,21,Male,Information Technology,B.E,5.06,1,5,85,38,67,32,15,0,56,1,3,0,0.0
Student_0136,22,Female,Computer Science,B.Tech,6.29,2,2,37,54,33,99,1,1,44,1,0,0,0.0
Student_0137,20,Male,Civil,B.Tech,8.16,3,1,68,72,34,59,22,0,56,0,2,0,0.0
Student_0138,21,Female,Civil,B.Tech,5.85,0,1,87,56,80,76,13,3,61,0,3,0,0.0
Student_0139,21,Male,Electrical,BCA,7.07,2,4,63,87,94,65,5,4,34,0,2,1,13.44
Student_0140,23,Female,Mechanical,B.E,7.74,1,2,56,78,78,60,18,0,90,0,2,1,13.06
Student_0141,20,Female,Civil,B.E,8.87,1,3,49,39,60,58,22,0,59,0,0,0,0.0
Student_0142,21,Male,Electronics,B.Tech,6.82,1,3,66,87,51,31,1,2,55,1,0,0,0.0
Student_0143,21,Male,Mechanical,MCA,6.76,1,4,98,93,59,49,4,0,40,1,3,1,14.26
Student_0144,23,Female,Computer Science,B.Tech,7.35,0,1,72,44,52,56,3,4,99,0,2,0,0.0
Student_0145,23,Male,Mechanical,BCA,7.75,0,1,80,55,49,55,1,2,89,1,2,1,13.12
Student_0146,20,Male,Mechanical,MCA,7.25,2,4,84,57,38,49,17,2,63,0,1,1,12.67
Student_0147,20,Female,Computer Science,B.E,8.45,0,2,84,59,69,74,4,0,53,1,0,1,14.07
Student_0148,23,Female,Mechanical,MCA,6.6,1,4,58,62,45,88,9,4,62,1,3,1,13.54
Student_0149,20,Male,Civil,B.Tech,7.52,0,0,83,92,40,92,19,4,97,1,0,1,14.05
Student_0150,23,Male,Electronics,M.Tech,7.85,0,1,52,75,49,98,14,4,45,1,3,1,12.82
Student_0151,21,Male,Mechanical,B.Tech,7.0,0,5,70,92,85,75,16,3,77,0,0,1,12.1
Student_0152,23,Female,Information Technology,B.E,8.24,1,5,51,54,70,58,2,1,93,1,4,1,14.72
Student_0153,21,Male,Information Technology,B.Tech,7.55,0,0,95,66,64,75,23,0,82,0,1,1,13.14
Student_0154,21,Male,Computer Science,B.Tech,8.19,0,4,81,37,71,39,1,1,90,0,4,0,0.0
Student_0155,22,Male,Information Technology,B.Tech,7.59,1,0,70,49,69,87,17,3,96,1,0,1,13.73
Student_0156,20,Female,Civil,B.Tech,7.78,1,0,61,70,64,67,15,0,34,0,2,0,0.0
Student_0157,22,Male,Electrical,B.E,6.77,0,5,66,42,88,41,9,0,46,1,2,0,0.0
Student_0158,22,Female,Mechanical,B.E,6.77,0,0,84,97,81,59,20,1,40,0,0,0,0.0
Student_0159,23,Female,Mechanical,B.Tech,8.62,3,1,49,49,42,51,21,0,69,0,2,0,0.0
Student_0160,23,Female,Mechanical,MCA,8.04,2,0,87,41,87,54,1,0,58,1,1,1,14.38
Student_0161,22,Other,Electronics,MCA,6.38,0,3,49,84,42,33,22,2,32,0,2,0,0.0
Student_0162,21,Female,Electronics,B.Tech,7.58,1,0,39,36,35,31,5,4,69,1,1,0,0.0
Student_0163,21,Female,Mechanical,B.Tech,5.03,1,1,81,52,59,54,18,2,37,1,0,0,0.0
Student_0164,21,Male,Civil,B.E,6.83,3,1,79,43,57,51,19,0,58,1,3,0,0.0
Student_0165,23,Female,Electronics,M.Tech,8.36,3,3,53,78,85,99,13,2,55,1,2,1,14.35
Student_0166,21,Male,Mechanical,B.Tech,7.27,3,2,75,89,78,48,20,0,92,1,4,1,15.37
Student_0167,20,Male,Electronics,M.Tech,7.52,0,1,81,43,34,53,19,3,77,1,4,0,0.0
Student_0168,21,Female,Information Technology,B.Tech,5.0,1,2,85,59,64,94,12,1,73,1,1,0,0.0
Student_0169,20,Other,Information Technology,B.Tech,7.01,1,2,96,63,85,90,4,2,88,0,1,1,15.3
Student_0170,20,Female,Computer Science,M.Tech,7.74,2,2,89,78,81,33,10,5,42,1,4,1,15.32
Student_0171,20,Male,Electronics,B.E,7.87,3,3,60,54,65,36,21,3,47,0,1,0,0.0
Student_0172,23,Male,Civil,BCA,8.36,1,1,46,66,73,36,4,4,82,0,0,0,0.0
Student_0173,22,Male,Civil,B.Tech,7.19,2,2,36,65,69,62,23,2,82,0,2,1,12.47
Student_0174,22,Male,Electrical,B.Tech,7.23,1,4,70,30,46,70,4,5,31,1,4,0,0.0
Student_0175,21,Male,Computer Science,B.Tech,6.07,0,1,76,69,69,54,15,4,45,0,1,0,0.0
Student_0176,22,Male,Civil,B.Tech,7.2,1,1,78,69,77,30,15,3,45,0,3,0,0.0
Student_0177,20,Male,Civil,B.Tech,6.14,2,0,30,99,33,44,4,3,30,1,1,0,0.0
Student_0178,23,Female,Electronics,B.E,5.55,1,4,79,65,78,73,11,3,76,0,1,1,10.68
Student_0179,22,Male,Information Technology,B.E,6.31,2,4,85,92,47,56,3,0,33,1,2,0,0.0
Student_0180,23,Female,Electronics,M.Tech,8.91,2,4,80,54,30,38,8,1,88,1,0,1,13.35
Student_0181,20,Female,Civil,B.Tech,7.13,1,1,66,78,82,75,23,4,70,1,1,0,0.0
Student_0182,21,Male,Electrical,B.Tech,7.62,3,2,31,93,57,72,1,2,83,0,1,1,10.69
Student_0183,22,Male,Mechanical,M.Tech,6.89,0,1,64,40,58,64,20,4,64,0,4,0,0.0
Student_0184,21,Male,Mechanical,B.Tech,5.61,3,4,75,69,73,95,16,3,97,1,1,1,13.62
Student_0185,21,Other,Mechanical,MCA,8.34,0,2,69,94,69,89,17,0,48,0,4,1,13.69
Student_0186,20,Male,Computer Science,B.Tech,5.23,1,2,70,68,73,32,6,3,69,1,0,0,0.0
Student_0187,21,Male,Mechanical,B.E,6.85,3,2,66,92,96,93,22,3,30,1,2,1,16.03
Student_0188,20,Female,Computer Science,MCA,7.35,2,4,68,59,75,33,6,2,88,0,1,1,11.25
Student_0189,21,Other,Electrical,B.E,7.63,1,4,52,92,33,63,12,4,69,0,2,1,12.21
Student_0190,22,Male,Electrical,B.E,6.67,3,4,72,74,45,93,0,2,42,0,3,1,13.14
Student_0191,22,Male,Mechanical,M.Tech,5.56,0,2,49,63,61,98,21,0,87,0,4,0,0.0
Student_0192,22,Male,Electronics,B.Tech,6.6,2,4,64,45,63,31,16,0,99,0,3,0,0.0
Student_0193,21,Male,Civil,M.Tech,6.65,2,5,59,41,55,35,3,5,34,0,2,0,0.0
Student_0194,23,Male,Mechanical,MCA,6.63,0,3,79,50,42,46,15,2,89,1,2,1,11.62
Student_0195,20,Female,Civil,MCA,8.37,3,4,92,82,37,49,4,2,81,0,4,1,15.21
Student_0196,21,Female,Mechanical,B.Tech,6.19,3,5,74,62,40,49,10,1,54,1,4,1,11.83
Student_0197,20,Male,Information Technology,B.Tech,7.7,0,5,39,57,96,59,12,4,74,0,3,0,0.0
Student_0198,21,Female,Computer Science,BCA,7.56,0,1,76,62,57,52,22,3,84,1,0,0,0.0
Student_0199,23,Male,Information Technology,B.E,8.36,0,4,52,54,97,70,7,5,63,0,1,1,14.08
Student_0200,21,Female,Mechanical,B.Tech,7.27,1,2,33,86,53,89,0,5,76,0,1,0,0.0
Student_0201,23,Female,Electronics,B.Tech,8.19,1,0,43,57,51,68,10,5,33,1,1,1,12.57
Student_0202,21,Female,Mechanical,B.Tech,7.23,2,2,99,63,64,53,22,1,94,1,4,1,12.01
Student_0203,22,Female,Information Technology,B.E,7.83,2,5,59,69,96,69,19,3,94,0,0,1,13.33
Student_0204,21,Male,Electrical,B.Tech,5.9,0,5,44,75,69,73,1,2,44,1,4,0,0.0
Student_0205,21,Male,Electronics,B.Tech,5.0,1,4,39,53,32,92,1,4,63,1,4,0,0.0
Student_0206,23,Male,Electrical,B.Tech,7.78,3,5,75,35,49,96,18,4,46,1,2,1,15.12
Student_0207,23,Male,Electronics,MCA,7.83,3,3,83,78,98,49,17,1,57,1,1,1,13.2
Student_0208,21,Female,Electronics,B.Tech,7.88,1,4,54,69,40,94,13,5,49,1,1,1,12.6
Student_0209,23,Male,Mechanical,B.Tech,6.88,0,0,37,75,88,87,2,1,90,1,3,0,0.0
Student_0210,21,Female,Information Technology,B.E,8.89,0,1,54,68,95,38,6,5,78,0,3,0,0.0
Student_0211,22,Male,Information Technology,B.Tech,6.94,1,1,76,65,45,69,20,5,89,1,2,1,16.56
Student_0212,23,Male,Electronics,MCA,7.82,1,5,37,96,69,40,3,0,85,1,2,1,11.62
Student_0213,21,Male,Civil,MCA,7.99,1,3,48,33,71,64,4,2,80,0,4,1,13.55
Student_0214,22,Female,Computer Science,B.Tech,9.12,0,5,30,36,85,33,10,2,41,0,3,0,0.0
Student_0215,21,Female,Electronics,B.Tech,7.08,1,2,63,95,85,50,17,4,88,0,3,1,13.38
Student_0216,20,Male,Civil,B.Tech,6.75,1,2,41,92,34,71,19,4,84,1,1,0,0.0
Student_0217,20,Male,Civil,B.Tech,5.9,1,4,43,58,52,51,14,0,38,1,0,0,0.0
Student_0218,21,Female,Electronics,B.Tech,8.95,0,3,37,67,95,30,11,5,36,1,2,0,0.0
Student_0219,23,Male,Computer Science,B.Tech,7.82,3,2,81,61,54,57,9,1,83,1,1,1,15.22
Student_0220,20,Female,Computer Science,B.Tech,7.85,1,1,64,99,47,67,1,2,57,1,1,0,0.0
Student_0221,21,Male,Electronics,B.E,10.0,1,3,96,61,74,83,6,1,52,0,2,1,15.82
Student_0222,22,Male,Civil,B.Tech,7.73,3,0,57,83,43,39,5,0,57,1,4,1,14.95
Student_0223,20,Male,Computer Science,B.Tech,6.1,2,1,45,55,40,63,1,3,90,0,4,0,0.0
Student_0224,22,Male,Electrical,B.E,7.2,0,0,44,56,85,43,17,0,55,1,3,0,0.0
Student_0225,21,Male,Civil,B.Tech,6.43,0,0,96,77,38,40,8,0,55,1,3,0,0.0
Student_0226,23,Male,Computer Science,B.Tech,7.0,0,1,71,57,92,38,12,4,57,0,2,0,0.0
Student_0227,22,Other,Electronics,B.Tech,7.0,2,0,52,30,47,83,4,2,33,1,2,0,0.0
Student_0228,22,Male,Information Technology,B.Tech,6.81,1,0,75,42,37,94,14,3,32,1,2,0,0.0
Student_0229,20,Male,Electrical,B.Tech,6.01,1,4,69,91,81,76,3,5,59,1,4,1,11.37
Student_0230,21,Male,Mechanical,BCA,8.99,2,1,38,55,42,56,16,0,31,0,4,0,0.0
Student_0231,23,Male,Information Technology,MCA,7.7,2,3,79,37,55,96,17,4,82,1,2,1,15.07
Student_0232,20,Female,Information Technology,B.Tech,7.17,0,0,38,95,54,64,7,0,59,0,3,0,0.0
Student_0233,23,Male,Mechanical,B.Tech,8.16,0,5,43,99,65,67,5,4,65,1,0,1,12.92
Student_0234,21,Female,Computer Science,M.Tech,7.87,3,1,79,64,63,74,18,1,53,1,2,1,15.87
Student_0235,22,Male,Information Technology,B.E,7.68,3,4,61,73,43,75,5,0,83,1,4,1,14.04
Student_0236,22,Other,Computer Science,B.Tech,8.08,3,3,45,82,46,64,4,1,59,0,3,1,12.76
Student_0237,21,Male,Mechanical,B.Tech,7.53,3,4,34,34,43,63,8,2,32,1,2,1,14.72
Student_0238,21,Female,Civil,B.Tech,8.07,1,3,71,50,33,52,23,4,64,0,1,1,12.56
Student_0239,22,Male,Electronics,B.E,8.15,3,3,78,69,75,77,11,4,42,1,4,1,16.9
Student_0240,20,Male,Computer Science,B.Tech,7.56,3,4,44,68,62,77,6,4,71,0,4,1,12.91
Student_0241,22,Female,Electronics,B.Tech,7.18,3,4,59,53,37,60,12,0,69,0,1,0,0.0
Student_0242,20,Female,Electrical,B.Tech,8.93,0,2,54,30,53,79,8,5,63,0,4,1,14.91
Student_0243,22,Female,Information Technology,B.Tech,6.92,0,5,92,96,76,39,15,2,56,1,2,1,13.85
Student_0244,22,Male,Computer Science,B.E,7.79,1,5,85,73,49,59,10,0,71,0,1,1,15.23
Student_0245,20,Female,Computer Science,M.Tech,7.81,2,4,49,82,58,99,14,5,77,1,1,1,13.72
Student_0246,23,Female,Civil,B.E,6.79,3,5,65,60,82,81,10,4,91,1,2,1,14.61
Student_0247,21,Female,Computer Science,B.Tech,6.59,1,0,94,65,76,80,11,0,97,1,2,1,12.42
Student_0248,23,Male,Mechanical,B.Tech,7.05,3,3,54,61,79,90,10,2,35,0,3,1,12.53
Student_0249,20,Female,Electrical,BCA,6.91,3,3,39,60,56,72,9,5,76,0,0,0,0.0
Student_0250,20,Female,Mechanical,B.E,5.94,3,5,50,76,63,76,23,4,35,0,2,1,13.52
Student_0251,21,Female,Electronics,B.Tech,6.75,0,0,72,99,89,63,6,1,59,1,3,0,0.0
Student_0252,20,Male,Information Technology,B.Tech,7.67,0,4,99,84,91,87,19,4,81,1,4,1,17.46
Student_0253,21,Male,Computer Science,BCA,8.67,0,0,51,76,33,79,17,1,67,0,1,1,12.96
Student_0254,22,Female,Computer Science,BCA,7.95,2,2,34,30,88,66,12,2,86,1,3,1,13.7
Student_0255,20,Male,Electrical,MCA,5.0,2,4,42,65,92,38,7,1,93,1,1,0,0.0
Student_0256,22,Female,Computer Science,B.E,8.04,1,1,58,96,95,86,11,4,98,1,3,1,15.43
Student_0257,20,Male,Computer Science,B.Tech,6.84,0,5,36,57,48,52,20,5,77,0,1,0,0.0
